ProjectID,ProjectTitle,ProjectBudget,ProjectLocation,ProjectImplementor,ProjectTheme,ProjectAdoptionDate,ProjectStartDate,ProjectEndDate,ProjectLinks,Comments,multiple countries?,DE implementing?,Region
T05-EUTF-HOA-SD-73,Humanitarian Development Peace Nexus: Strengthening a Decentralized Health System for protracted displaced populations in North and South Darfur (HealthPro),15000000,Sudan,"Italian Development Cooperation, GOAL",Strengthening resilience,2019-05-28,,,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/7878/document/T05-EUTF-HOA-SD-73_-HealthPro.pdf,,FALSE,FALSE,HOA
T05-EUTF-HOA-SD-82,EU Support for a Social Protection System in Sudan,34870000,Sudan,"World Bank, OIT - ILO - Organisation Internationale du Travail - International Labour Organization, UNICEF",Strengthening resilience,2019-12-12,,2022-06-12,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/8601/document/T05-EUTF-HOA-SD-82_-_EU_support_for_a_Social_Protection_System_in_Sudan.pdf,,FALSE,FALSE,HOA
T05-EUTF-HOA-SD-90,EU OPM Sudan – Support to the Office of the Prime Minister,7000000,Sudan,,Improved governance and conflict prevention,2019-11-20,,2022-11-20,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/8611/document/bT05-EUTF-HOA-SD-90_Support_to_the_Office_of_the_Prime_Minister_EQpfZTY.pdf,implementor manually added march 14 2022,FALSE,FALSE,HOA
T05-EUTF-HOA-SD-91,Humanitarian-Development Nexus: Strengthening preparedness and response of the health system addressing the COVID-19 Pandemic in Sudan,20200000,Sudan,World Health Organization,,2020-04-17,,2023-04-17,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/8680/document/T05-EUTF-HOA-SD-91_-_COVID-19_response_incl._rider.pdf,,FALSE,FALSE,HOA
T05-EUTF-HOA-SD-94,EU support for the Family Support Programme and for the consolidation of social protection in Sudan,65000000,Sudan,World Bank,Strengthening resilience,2018-12-12,,2022-10-30,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/8667/document/T05-EUTF-HOA-SD-94_-_Sudan_Family_Support_Programme_incl._rider.docx.pdf,,FALSE,FALSE,HOA
T05-EUTF-HOA-SD-95,Support to the Economic transition,31970000,Sudan,"Overseas Development Institute (ODI), Expertise France (EF), International Monetary Fund (according to Action Fiche)","Greater economic and employment opportunities, Improved governance and conflict prevention",,,,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/8795/document/T05-EUTF-HOA-SD-95_-_Support_to_the_Economic_Transition_incl._3_rider.pdf,implementor manually added march 14 2022,FALSE,FALSE,HOA
T05-EUTF-HOA-SD-96,Support to Economic Opportunities for Youth and Women,40000000,Sudan,"United Nations Entity for Gender Equality and the Empowerment of Women, Government Of Sudan","Greater economic and employment opportunities, Strengthening resilience, Improved migration management",2020-07-06,,,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/8796/document/T05-EUTF-HOA-SD-96_Support_to_Economic_Opportunities_for_Youth_and_Wome.pdf,,FALSE,FALSE,HOA
T05-EUTF-HOA-SD-97,Support to sustainable peace rule of law and human rights during Sudan’s democratic transition towards transparent inclusive and credible elections,10000000,Sudan,The UN Office of the High Commissioner for Human Rights,"Strengthening resilience, Improved governance and conflict prevention",2020-07-06,,,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/8797/document/T05-EUTF-HOA-SD-97_-_Support_to_SD_democratic_transition_incl._1_rider.pdf,,FALSE,FALSE,HOA
T05-EUTF-HOA-SD-98,Education Quality Improvement Programme 2 (EQUIP 2),19874875,Sudan,"SOFRECO, Agence Française d'Expertise Technique Internationale, Save the Children","Greater economic and employment opportunities, Strengthening resilience",2020-07-06,,,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/8798/document/T05-EUTF-HOA-SD-98_EQUIP_II_incl._2_riders.pdf,,FALSE,FALSE,HOA
T05-EUTF-HOA-SO-03,Innovative durable solutions for IDPs and returnees in Mogadishu through enhanced governance employment and access to basic and protective services,55000000,Somalia,"Danish Refugee Council, International Organization for Migration, Norwegian Refugee Council, Concern Worldwide, International Development Law Organisation, United Nations High Commissioner for Refugees, CARE, United Nations Office on Drugs and Crime",,,2016-04-28,2024-12-31,,implementor manually added march 14 2022,FALSE,FALSE,HOA
T05-EUTF-HoA-SO-03,RE-INTEG: Enhancing Somalia’s responsiveness to the management and reintegration of mixed migration flows,55000000,Somalia,EU Delegation Somalia,"Greater economic and employment opportunities, Strengthening resilience, Improved migration management",,2016-04-28,2024-12-31,"https://ec.europa.eu/trustfundforafrica/region/horn-africa/somalia/re-integ-enhancing-somalias-responsiveness-management-and-reintegration_en,  https://ec.europa.eu/europeaid/action-document-eutf-action-document-implementation-horn-africa-window-somalia-re-integ_en, https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5419/document/T05-EUTF-HOA-SO-03_RE-INTEG_incl._7_riders.pdf",,FALSE,FALSE,HOA
T05-EUTF-HOA-SO-16,Dulqaad iyo wada hadal - Promoting a culture of tolerance and dialogue in Somalia,60000000,Somalia,,,,,,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/8666/document/T05-EUTF-HOA-SO-16_-_Promoting_a_culture_of_tolerance_and_dialo_L9h74XO.pdf,implementor manually added march 14 2022,FALSE,FALSE,HOA
T05-EUTF-HOA-SO-23,RESTORE - Building Resilience in Northern Somalia,13000000,Somalia,SIDA,"Greater economic and employment opportunities, Strengthening resilience",2016-10-12,,,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5436/document/T05-EUTF-HOA-SO-23_-_RESTORE_incl._3_riders.pdf,,FALSE,FALSE,HOA
T05-EUTF-HOA-SO-46,Enhancing security and the rule of law in Somalia,45000000,Somalia,The United Nations Office for Project Services (UNOPS),Improved governance and conflict prevention,2017-12-12,2018-01-31,,"https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/6755/document/Rider_T05-EUTF-HOA-SO-46_Enhancing_Security_and_the_rule_of_law_pEkvOzQ.pdf, https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/6755/document/bT05-EUTF-HOA-SO-46_-_Enhancing_Security_and_the_rule_of_law_in_SvvVx9A.pdf",,FALSE,FALSE,HOA
T05-EUTF-HOA-SO-47,RESTORE 2 Building Resilience in Northern Somalia,10000000,Somalia,Food and Agriculture Organization,,2018-05-01,,,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/6811/document/T05-EUTF-HOA-SO-47_-_RESTORE_2.pdf,,FALSE,FALSE,HOA
T05-EUTF-HOA-SO-56,Operational Support (Air Transport) Services,8073541.67,Somalia,,Strengthening resilience,,,,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/7151/document/T05-EUTF-HOA-SO-56_-_Operational_Support_Air_Transport_Services_inc_2_r.pdf,implementor manually added march 14 2022,FALSE,FALSE,HOA
T05-EUTF-HOA-SO-57,Inclusive Local and Economic Development - ILED,98200000,Somalia,"Department for International Development (DFID), Nordic International Support Foundation (NIS)","Greater economic and employment opportunities, Strengthening resilience, Improved governance and conflict prevention",,2018-05-29,,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/7131/document/T05-EUTF-HOA-SO-57_ILED.pdf,implementor manually added march 14 2022,FALSE,FALSE,HOA
T05-EUTF-HOA-SO-59,Somalia State Building and Resilience Contract,107400000,Somalia,,"Strengthening resilience, Improved governance and conflict prevention",,,,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/7138/document/T05-EUTF-HOA-SO-59_-_Somalia_SRBC_incl._5_addenda.pdf,implementor manually added march 14 2022,FALSE,FALSE,HOA
T05-EUTF-HOA-SS-04,Health Pooled Fund 2 - South Sudan,20000000,South Sudan,Department for International Development UK,Strengthening resilience,,2016-07-01,,"http://ec.europa.eu/europeaid/eutf-action-document-implementation-horn-africa-window-south-sudan-hpf-ii_en, https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5505/document/T05-EUTF-HOA-SS-04_-_Health_Pooled_Fund_2_incl._1_rider.pdf",implementor manually added march 14 2022,FALSE,FALSE,HOA
T05-EUTF-HOA-SS-05,Support to stabilisation through improved resource economic and financial management in South Sudan,3000000,South Sudan,Ecorys,"Strengthening resilience, Improved governance and conflict prevention",,2015-12-16,2018-12-15,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5508/document/T05-EUTF-HOA-SS-05_-_Support_to_stabilisation_through_improved_resource.pdf,implementor manually added march 14 2022,FALSE,FALSE,HOA
T05-EUTF-HOA-SS-06,IMPACT South Sudan,31662477.17,South Sudan,Euroconsult Mott MacDonald,Strengthening resilience,2015-12-16,2017-04-01,2020-03-27,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5510/document/T05-EUTF-HOA-SS-06_-_IMPACT_South_Sudan_Incl._4_addenda.pdf,,FALSE,FALSE,HOA
T05-EUTF-HOA-ET-76,Stability and socio-economic development for vulnerable and marginalised communities in the Tigray region of Ethiopia,6000000,Ethiopia,"Adopted in May 2019, only potential implementing partners listed in Action fiche","Greater economic and employment opportunities, Strengthening resilience, Improved governance and conflict prevention",,,,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/7883/document/T05-EUTF-HOA-ET-76_-_Stability_and_socio-economic_development_i_KqEC85Z.pdf,implementor manually added march 14 2022,FALSE,FALSE,HOA
T05-EUTF-HOA-SS-48,Education in Emergency Programme in Four Former States in South Sudan,22388981,South Sudan,"UNICEF, World Food Programme",Strengthening resilience,2018-08-01,2018-08-01,2022-01-31,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/6732/document/T05-EUTF-HOA-SS-48_-_Education_in_emergency_programme_in_four_former_st.pdf,,FALSE,FALSE,HOA
T05-EUTF-HOA-SS-49,South Sudan Rural Development: Strengthening Smallholders' Resilience - SORUDEV SSR,14900000,South Sudan,"World Vision Australia, International Rescue Committee, Food and Agriculture Organization",Strengthening resilience,2017-12-12,,,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/6733/document/T05-EUTF-HOA-SS-49_-_Strengthening_Smallholders_Resilience_Incl._2_Ride.pdf,,FALSE,FALSE,HOA
T05-EUTF-HOA-SS-50,Technical Cooperation Facility for South Sudan,2972000,South Sudan,Integrate Tomasz Iwanow Ltd,Strengthening resilience,,2018-03-15,2021-03-14,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/6734/document/T05-EUTF-HOA-SS-50_-_Technical_Cooperation_Facility_South_Sudan_incl._3.pdf,implementor manually added march 14 2022,FALSE,FALSE,HOA
T05-EUTF-HOA-SS-61,Building Sustainable Peace and Reconciliation in South Sudan,4975000,South Sudan,,Improved governance and conflict prevention,,,2023-12-12,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/7593/document/T05-EUTF-HOA-SS-61_-_Building_Sustainable_Peace_SS_incl_1_rider.pdf,implementor manually added march 14 2022,FALSE,FALSE,HOA
T05-EUTF-HOA-SS-74,Support to health services in South Sudan (Health Pooled Fund 3 and COVID-19 response),23800000,South Sudan,"Department for International Development UK, World Health Organization",Strengthening resilience,,,,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/7881/document/T05-EUTF-HOA-SS-74_-_Health_incl._5_addenda.pdf,implementor manually added march 14 2022,FALSE,FALSE,HOA
T05-EUTF-HOA-SS-75,OutReach – Support to education of children and young people in South Sudan in particular in hard to reach areas,14999996,South Sudan,,Strengthening resilience,,,,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/7882/document/T05-EUTF-HOA-SS-75_-_Outreach_incl._2_riders.pdf,implementor manually added march 14 2022,FALSE,FALSE,HOA
T05-EUTF-HOA-SS-84,South Sudan Rural Development: feeder roads to strengthen the livelihoods and resilience of rural communities,35900000,South Sudan,,Strengthening resilience,,,2023-12-12,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/8593/document/T05-EUTF-HOA-SS-84_-_South_Sudan_Rural_Development_incl._3_riders.pdf,implementor manually added march 14 2022,FALSE,FALSE,HOA
T05-EUTF-HOA-SS-85,South Sudan Women Empowerment,4951982,South Sudan,,"Greater economic and employment opportunities, Strengthening resilience, Improved governance and conflict prevention",,,2023-12-12,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/8592/document/T05-EUTF-HOA-SS-85_-_South_Sudan_Women_Empowerment_incl_1_rider.pdf,implementor manually added march 14 2022,FALSE,FALSE,HOA
T05-EUTF-HOA-SS-93,Job Creation and Trade Development for South Sudan,4974973,South Sudan,,Greater economic and employment opportunities,,,,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/8799/document/T05-EUTF-HOA-SS-93_-_Job_creation_incl_1_rider.pdf,implementor manually added march 14 2022,FALSE,FALSE,HOA
T05-EUTF-HOA-UG-07,Regional Development and Protection Programme (RDPP): Support Programme to the Refugee Settlements and Host Communities in Northern Uganda (SPRS-NU),23000000,Uganda,"Danish Refugee Council, Austrian Development Agency, ENABEL - Belgian Development Agency","Greater economic and employment opportunities, Strengthening resilience, Improved governance and conflict prevention",2015-12-16,2016-07-01,2021-12-16,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5453/document/T05-EUTF-HOA-UG-07_SPRS-NU_incl._3_riders.doc.pdf,,FALSE,FALSE,HOA
T05-EUTF-HoA-UG-08,Strengthening Social Cohesion and Stability in Slum Populations,4300000,Uganda,International Organization for Migration,"Greater economic and employment opportunities, Strengthening resilience, Improved governance and conflict prevention",2015-12-16,2016-08-23,2020-02-29,"https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5461/document/T05-EUTF-HoA-UG-08_-_Strengthening_Social_Cohesion_incl_1_addendum.pdf, https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5461/document/IOM%20final%20Report.pdf",,FALSE,FALSE,HOA
T05-EUTF-HOA-UG-39,Response to increased demand on Government Service and creation of economic opportunities in Uganda (RISE),20000000,Uganda,"GIZ, CARE ","Greater economic and employment opportunities, Strengthening resilience, Improved governance and conflict prevention",2018-10-01,2018-10-01,2022-10-01,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/6723/document/T05-EUTF-HOA-UG-39_-_Response_to_increased_demand_on_govt._service_and_.pdf,,FALSE,TRUE,HOA
T05-EUTF-HOA-UG-68,Security Protection and Economic Empowerment (SUPREME),18000000,Uganda,?,"Greater economic and employment opportunities, Strengthening resilience, Improved migration management",2018-12-12,,2022-12-12,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/7607/document/T05-EUTF-HOA-UG-68_-_Security_Protection_and_Economic_Empowerment_SUPRE.pdf,implementor manually added march 14 2022,FALSE,FALSE,HOA
T05-EUTF-HOA-UG-83,Response to Increased Environmental Degradation and Promotion of Alternative Energy Sources in Refugee Hosting Districts,9900000,Uganda,"GIZ, Care","Greater economic and employment opportunities, Strengthening resilience",,,2023-12-12,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/8602/document/T05-EUTF-HOA-UG-83_-_Response_to_Increased_Environmental_Degradation_in.pdf,implementor manually added march 14 2022,FALSE,FALSE,HOA
T05-EUTF-NOA-EG-01,Enhancing the Response to Migration Challenges in Egypt (ERMCE),60000000,Egypt,"GIZ, German Red Cross, Plan International, Agenzia italiana per la cooperazione allo sviluppo, Spanish Agency for International Development Cooperation , Medium, Small and Micro Enterprise Development Agency, National Council for Women",Improved migration management,2017-05-23,,2020-12-31,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/6264/document/AD_T05-EUTF-NOA-EG-01_EGY_FINAL.docx_1.pdf,,FALSE,TRUE,NOA
T05-EUTF-NOA-EG-01-01,CTR - Enhancing migration management through institutional support,3000000,Egypt,Spanish Agency for International Development Cooperation,Improved migration management,,2020-12-04,,,"compared to the others, this project is listed as a ""child"" not a ""parent"" project. We chose to include it,  as t is distinct from parent (eg budget, implementing partners)",FALSE,FALSE,NOA
T05-EUTF-NOA-LY-01,Strengthening protection and resilience of displaced populations in Libya,5900000,Libya,Danish Refugee Council,Improved migration management,,2016-06-16,,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/6028/document/T05-EUTF-NOA-LY-01modified.pdf,,FALSE,FALSE,NOA
T05-EUTF-NOA-LY-02,Supporting protection and humanitarian repatriation and reintegration of vulnerable migrants in Libya,19800000,Libya,"International Organization for Migration, IRC International Water and Sanitation Centre",Improved migration management,2016-12-16,2016-12-16,,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/6015/document/T05-EUTF-NOA-LY-02modified.pdf,,FALSE,FALSE,NOA
T05-EUTF-NOA-LY-03,Managing mixed migration flows in Libya through expanding protection space and supporting local socio-economic development,90000000,Libya,"United Nations Development Programme, United Nations High Commissioner for Refugees, UNICEF, International Organization for Migration, GIZ",Improved migration management,2017-04-12,2017-04-12,,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/6263/document/Action_Document__LY_03_2ndmodified.pdf,,FALSE,TRUE,NOA
T05-EUTF-NOA-LY-04,Support to Integrated border and migration management in Libya – First phase,42223927.28,Libya,Italian Ministry of Interior,Improved migration management,2017-07-27,,,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/6423/document/T05-EUTF-NOA-LY-04_modified.pdf,,FALSE,FALSE,NOA
T05-EUTF-NOA-LY-05,Recovery Stability and socio-economic development in Libya,50000000,Libya,"United Nations Development Programme, UNICEF, Agenzia italiana per la cooperazione allo sviluppo",Improved migration management,2018-03-17,2018-03-07,2020-12-31,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/6988/document/T05-EUTF-NOA-LY-05.pdf,,FALSE,FALSE,NOA
T05-EUTF-NOA-LY-06,Integrated approach to protection and emergency assistance to vulnerable and stranded migrants in Libya,29000000,Libya,"United Nations High Commissioner for Refugees, International Organization for Migration",Improved migration management,2018-07-06,,2020-07-06,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/7238/document/T05-EUTF-NOA-LY-06modified.pdf,,FALSE,FALSE,NOA
T05-EUTF-NOA-LY-07,Support to Integrated border and migration management in Libya - Second phase,15000000,Libya,Italian Ministry of Interior,Improved migration management,,,2021-12-13,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/7601/document/T05-EUTF-NOA-LY-07.pdf,implementor manually added march 14 2022,FALSE,FALSE,NOA
T05-EUTF-NOA-LY-08,TOP UP: Managing mixed migration flows: Enhancing protection and assistance for those in need in Libya,23000000,Libya,"United Nations High Commissioner for Refugees, United Nations Population Fund, CESVI",Improved migration management,2019-07-02,,2021-12-31,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/8137/document/T05-EUTF-NOA-LY-08_TDJsXIN.pdf,,FALSE,FALSE,NOA
T05-EUTF-NOA-LY-09,TOP UP: Strengthening Local Capacities for Resilience and Recovery,18000000,Libya,United Nations Development Programme,Improved migration management,2019-07-02,,2022-12-31,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/8149/document/AD__T05-EUTF-NOA-LY-09.pdf,,FALSE,FALSE,NOA
T05-EUTF-NOA-LY-10,Scale-up of programme “Managing mixed migration flows in Libya” - local governance and socio-economic development pillar,17000000,Libya,"GIZ, UNICEF",Improved migration management,2019-12-10,,2021-12-10,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/8636/document/T05-EUTF-NOA-LY-10_modified.pdf,,FALSE,TRUE,NOA
T05-EUTF-NOA-LY-11,Libya - Continuation - Managing mixed migration flows: Protection health assistance resilience and community engagement,30200000,Libya,"World Health Organization, International Organization for Migration",,2020-07-02,,2023-07-02,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/9040/document/T05-EUTF-NOA-LY-11.pdf,,FALSE,FALSE,NOA
T05-EUTF-NOA-LY-12,Libya - Protecting most vulnerable populations from the COVID 19 pandemic in Libya,20000000,Libya,International Organization for Migration,,2020-07-02,,2023-07-02,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/9044/document/T05-EUTF-NOA-LY-12modified.pdf,,FALSE,FALSE,NOA
T05-EUTF-NOA-LY-13,Libya - Recovery stability and socio-economic development in Libya – Phase 2 (RSSD 2),25000000,Libya,"UNICEF, United Nations Development Programme, Agenzia italiana per la cooperazione allo sviluppo",,2020-07-02,,2024-07-02,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/9045/document/T05-EUTF-NOA-LY-13.pdf,,FALSE,FALSE,NOA
T05-EUTF-NOA-MA-01,Vivre ensemble sans discrimination : une approche basée sur les Droits de l’Homme et la dimension de genre,5500000,Morocco,Spanish Agency for International Development Cooperation ,Improved migration management,2016-12-16,2016-12-16,,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5882/document/T05-EUTF-NOA-MA-01_2020.pdf,,FALSE,FALSE,NOA
T05-EUTF-NOA-MA-02,Empowerment juridique des personnes migrantes,4580000,Morocco,ENABEL - Belgian Development Agency,Improved migration management,2017-12-04,2017-12-04,,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/6664/document/AD_T05-EUTF-NOA-MA-02modified.pdf,,FALSE,FALSE,NOA
T05-EUTF-NOA-MA-03,Assistance aux personnes migrantes en situation de vulnérabilité,6500000,Morocco,"Medecins du Monde, Handicap international",Improved migration management,,,2021-07-06,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/7237/document/T05-EUTF-NOA-MA-03.pdf,implementor manually added march 14 2022,FALSE,FALSE,NOA
T05-EUTF-NOA-MA-04,Déploiement des Politiques Migratoires au Niveau Régional,8000000,Morocco,ENABEL - Belgian Development Agency,"Improved migration management, Improved governance and conflict prevention",2018-12-13,,2021-12-13,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/7598/document/T05-EUTF-NOA-MA-04_2020.pdf,,FALSE,FALSE,NOA
T05-EUTF-NOA-MA-05,Soutien à la gestion intégrée des frontières et de la migration au Maroc,44000000,Morocco,Fundación Internacional y para Iberoamérica de Administración y Políticas Públicas,Improved migration management,2018-12-13,,2021-12-13,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/7599/document/T05-EUTF-NOA-MA-05_REV_CLEAN.pdf,,FALSE,FALSE,NOA
T05-EUTF-NOA-MA-06,Coopération Sud-Sud en matière de migration,8613500,Morocco,GIZ,Improved migration management,2017-05-23,2017-05-23,2021-12-06,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/6250/document/Action_Document_T05-EUTF-NOA-06_modified.pdf,,FALSE,TRUE,NOA
T05-EUTF-NOA-MA-07,Appui aux actions des autorités marocaines contre les réseaux facilitant les flux migratoires irréguliers,101750000,Morocco,"Moroccan Ministry of Interior? Mentioned as a stakeholder, not as an implementing partner",Improved migration management,,2019-12-10,2021-09-30,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/8634/document/T05-EUTF-NOA-MA-07_2020.pdf,implementor manually added march 14 2022,FALSE,FALSE,NOA
T05-EUTF-NOA-REG-01,DEV-pillar of the Regional Development and Protection Programme in the North of Africa,9900000,"Morocco, Tunisia, Libya, Egypt","Save the Children, International Organization for Migration, Médecins Du Monde france",Improved migration management,2016-06-16,2016-06-16,,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/6031/document/EUTF-NOA-REG-01.pdf,,TRUE,FALSE,NOA
T05-EUTF-NOA-REG-02,Mediterranean City-to-City Migration (MC2CM) – Phase II,5550000,"Algeria, Tunisia, Morocco, Libya",ICMPD,Improved migration management,2018-04-01,2018-07-01,2021-03-31,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/6251/document/T05-EUTF-NOA-REG-02modified.pdf,,TRUE,FALSE,NOA
T05-EUTF-NOA-REG-03,Technical Cooperation Facility (TCF): Formulation of programmes Implementation of the Monitoring and Evaluation Framework and Communication activities,5200000,"Morocco, Algeria, Tunisia, Libya, Egypt","ICMPD, The Global Initiative against Transnational Organized Crime",Improved migration management,2017-05-23,2017-05-23,,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/6262/document/T05-EUTF-NOA-REG-03modified.pdf,,TRUE,FALSE,NOA
T05-EUTF-NOA-REG-04,Facility for Migrant Protection and Reintegration in North Africa,10000000,"Morocco, Algeria, Tunisia, Libya, Egypt",International Organization for Migration,Improved migration management,2017-12-04,2017-12-04,,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/6665/document/T05-EUTF-NOA-REG-04modified.pdf,,TRUE,FALSE,NOA
T05-EUTF-NOA-REG-05,Dismantling the criminal networks operating in North Africa and involved in migrant smuggling and human trafficking,15000000,"Algeria, Egypt, Libya, Morocco, Tunisia",United Nations Office on Drugs and Crime,Improved migration management,2017-12-04,2017-12-04,,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/6666/document/T05-EUTF-NOA-REG-05modified.pdf,,TRUE,FALSE,NOA
T05-EUTF-NOA-REG-06,Towards a Holistic Approach to Labour Migration Governance and Labour Mobility in North Africa,20000000,"Morocco, Tunisia, Algeria, Libya, Egypt","ENABEL - Belgian Development Agency, International Organization for Migration, OIT - ILO - Organisation Internationale du Travail - International Labour Organization, GIZ",Improved migration management,2018-12-13,,2021-12-13,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/7602/document/T05-EUTF-NOA-REG-06_amendment_notrackchanges.pdf,,TRUE,TRUE,NOA
T05-EUTF-NOA-REG-07,Border Management Programme for the Maghreb region (BMP-Maghreb),55000000,Morocco,ICMPD,Improved migration management,2018-07-06,,2022-07-06,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/7247/document/T05-EUTF-NOA-REG-07.pdf,,FALSE,FALSE,NOA
T05-EUTF-NOA-REG-08,DEV-pillar of the Regional Development and Protection Programme in the North of Africa – Phase III,12000000,,"CEFAR, Caritas, Impact, IRC",Improved migration management,2019-07-02,,2022-12-31,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/8156/document/T05_EUTF_NOA_REG_08.pdf,implementor manually added march 14 2022,FALSE,FALSE,NOA
T05-EUTF-NOA-REG-09,Enhancing self-reliance and access to rights for refugees and asylum-seekers in North Africa,11500000,,United Nations High Commissioner for Refugees,Improved migration management,2019-07-02,,2021-12-31,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/8159/document/AD_T05-EUTF-NOA-REG-09_modified.pdf,,FALSE,FALSE,NOA
T05-EUTF-NOA-REG-10,TOP-UP Technical Cooperation Facility (TCF): Formulation of programmes Implementation of the Monitoring and Evaluation Framework Communication and Research activities,3500000,,"Altai Consulting, The Global Initiative against Transnational Organized Crime",Improved migration management,2019-07-02,,2021-12-31,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/8158/document/T05-EUTF-NOA-REG-10.pdf,,FALSE,FALSE,NOA
T05-EUTF-NOA-REG-11,MEETAfrica | Mobilisation européenne pour l'entrepreneuriat en Afrique - Phase 2,5000000,,Expertise France,Improved migration management,2019-07-02,,2022-12-31,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/8157/document/T05-EUTF-NOA-REG-11.pdf,,FALSE,FALSE,NOA
T05-EUTF-NOA-REG-13,EU-IOM Joint Initiative in North Africa - Top up to Voluntary Humanitarian Return and Reintegration Assistance,24000000,,International Organization for Migration,Improved migration management,2019-12-10,,2021-12-31,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/8635/document/T05-EUTF-NOA-REG-13_clean.pdf,,FALSE,FALSE,NOA
T05-EUTF-NOA-REG-14,Regional – Durable solutions for refugee unaccompanied and separated children (Libya and Egypt) and family reunification,3700000,,UNHCR,,,,2023-07-02,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/9041/document/T05-EUTF-NOA-REG-14.pdf,implementor manually added march 14 2022,FALSE,FALSE,NOA
T05-EUTF-NOA-REG-15,Regional - Continuation - Technical Cooperation Facility (TCF): Formulation of programmes Implementation of the Monitoring and Evaluation Framework and Research activities,6500000,,,,,,2023-07-02,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/9042/document/T05-EUTF-NOA-REG-15modified.pdf,implementor manually added march 14 2022,FALSE,FALSE,NOA
