
"Year","Country of origin","Country of origin (ISO)","Country of asylum","Country of asylum (ISO)","Refugees under UNHCR's mandate",Asylum-seekers,"IDPs of concern to UNHCR","Venezuelans displaced abroad","Stateless persons","Others of concern"
2019,"Trinidad and Tobago",TTO,-,-,307,408,0,,0,200
2020,Bhutan,BTN,-,-,6741,411,0,,0,0
2020,Czechia,CZE,-,-,1112,158,0,,0,0
2020,Germany,DEU,-,-,71,166,0,,0,0
2020,Mauritius,MUS,-,-,176,338,0,,0,0
2020,Poland,POL,-,-,910,1052,0,,0,0
2020,"United Arab Emirates",ARE,-,-,181,176,0,,0,0
2015,Bahrain,BHR,-,-,422,81,0,,0,0
2015,Comoros,COM,-,-,550,226,0,,0,0
2015,Madagascar,MDG,-,-,285,166,0,,0,5
2015,Mozambique,MOZ,-,-,55,2193,0,,0,0
2016,Jamaica,JAM,-,-,1998,1134,0,,0,0
2016,Madagascar,MDG,-,-,292,53,0,,0,5
2016,Poland,POL,-,-,1159,565,0,,0,0
2017,Argentina,ARG,-,-,121,352,0,,0,0
2017,Madagascar,MDG,-,-,292,73,0,,0,5
2017,Poland,POL,-,-,1123,784,0,,0,0
2018,"Equatorial Guinea",GNQ,-,-,140,176,0,,0,0
2019,Germany,DEU,-,-,69,204,0,,0,0
2019,Paraguay,PRY,-,-,84,632,0,,0,0
2019,Spain,ESP,-,-,51,276,0,,0,0
2020,Italy,ITA,-,-,62,471,0,,0,0
2020,Montenegro,MNE,-,-,530,634,0,,0,0
2020,Paraguay,PRY,-,-,119,868,0,,0,0
2020,Spain,ESP,-,-,52,294,0,,0,0
2015,Jamaica,JAM,-,-,1857,839,0,,0,0
2015,Malaysia,MYS,-,-,435,2823,0,,0,0
2015,Malawi,MWI,-,-,429,5672,0,,0,0
2016,Argentina,ARG,-,-,120,219,0,,0,0
2016,Gabon,GAB,-,-,167,431,0,,0,0
2016,Montenegro,MNE,-,-,713,1132,0,,0,0
2016,Zambia,ZMB,-,-,256,294,0,,0,0
2017,Montenegro,MNE,-,-,704,770,0,,0,0
2018,Comoros,COM,-,-,624,500,0,,0,0
2018,"Costa Rica",CRI,-,-,207,548,0,,0,0
2018,"Lao People's Dem. Rep.",LAO,-,-,6943,294,0,,0,0
2018,Montenegro,MNE,-,-,715,633,0,,0,0
2018,Spain,ESP,-,-,46,238,0,,0,0
2018,Zambia,ZMB,-,-,266,254,0,,0,0
2019,Bhutan,BTN,-,-,6839,413,0,,0,0
2019,Bulgaria,BGR,-,-,566,344,0,,0,5
2019,Italy,ITA,-,-,76,431,0,,0,0
2019,"Rep. of Korea",KOR,-,-,180,643,0,,0,0
2019,"Lao People's Dem. Rep.",LAO,-,-,6757,390,0,,0,0
2019,Montenegro,MNE,-,-,659,606,0,,0,0
2020,"Equatorial Guinea",GNQ,-,-,145,193,0,,0,0
2020,"Rep. of Korea",KOR,-,-,146,723,0,,0,0
2020,"Dem. People's Rep. of Korea",PRK,-,-,689,88,0,,0,0
2020,"Lao People's Dem. Rep.",LAO,-,-,6665,463,0,,0,0
2015,Montenegro,MNE,-,-,646,3015,0,,0,0
2015,Poland,POL,-,-,1298,399,0,,0,0
2015,"Western Sahara",ESH,-,-,116542,1438,0,,0,0
2016,Bahrain,BHR,-,-,461,118,0,,0,0
2016,"Western Sahara",ESH,-,-,116649,1993,0,,0,0
2017,Hungary,HUN,-,-,3336,1656,0,,0,5
2017,"Western Sahara",ESH,-,-,116763,1843,0,,0,0
2018,Bhutan,BTN,-,-,7100,390,0,,0,0
2018,Bulgaria,BGR,-,-,620,367,0,,0,0
2018,"Western Sahara",ESH,-,-,116791,1803,0,,0,0
2019,Comoros,COM,-,-,658,1459,0,,0,0
2019,"Costa Rica",CRI,-,-,206,744,0,,0,0
2019,Hungary,HUN,-,-,4007,680,0,,0,5
2019,Thailand,THA,-,-,171,3531,0,,0,0
2019,"Western Sahara",ESH,-,-,116909,955,0,,0,5
2020,Bulgaria,BGR,-,-,510,350,0,,0,5
2020,"Costa Rica",CRI,-,-,208,800,0,,0,0
2020,Hungary,HUN,-,-,4617,602,0,,0,0
2020,Thailand,THA,-,-,172,3760,0,,0,0
2020,"Western Sahara",ESH,-,-,116926,1038,0,,0,5
2015,Bhutan,BTN,-,-,17709,223,0,,0,0
2015,Gabon,GAB,-,-,174,224,0,,0,0
2015,Nicaragua,NIC,-,-,1469,1237,0,,0,0
2015,Zambia,ZMB,-,-,334,427,0,,0,0
2016,Bulgaria,BGR,-,-,799,258,0,,0,0
2017,Bulgaria,BGR,-,-,716,316,0,,0,0
2017,Jamaica,JAM,-,-,2224,1430,0,,0,0
2017,Thailand,THA,-,-,164,1333,0,,0,0
2017,Zambia,ZMB,-,-,260,164,0,,0,5
2018,Bahrain,BHR,-,-,540,136,0,,0,0
2018,Hungary,HUN,-,-,3927,804,0,,0,0
2018,"Dem. People's Rep. of Korea",PRK,-,-,797,146,0,,0,0
2018,Thailand,THA,-,-,183,2792,0,,0,0
2019,Gabon,GAB,-,-,440,894,0,,0,0
2019,Croatia,HRV,-,-,23793,65,0,,0,3754
2019,"Dem. People's Rep. of Korea",PRK,-,-,758,117,0,,0,0
2020,Bahrain,BHR,-,-,534,118,0,,0,0
2020,Croatia,HRV,-,-,23451,58,0,,0,3301
2020,Malaysia,MYS,-,-,1058,21474,0,,0,0
2015,Bulgaria,BGR,-,-,1264,207,0,,0,0
2015,Djibouti,DJI,-,-,1059,542,0,,0,0
2015,Hungary,HUN,-,-,1447,703,0,,0,5
2015,Israel,ISR,-,-,787,379,0,,0,0
2015,Thailand,THA,-,-,210,833,0,,0,0
2016,Bhutan,BTN,-,-,11757,277,0,,0,0
2016,Hungary,HUN,-,-,2909,1661,0,,0,5
2016,Malaysia,MYS,-,-,453,6163,0,,0,0
2017,Bahrain,BHR,-,-,497,172,0,,0,0
2017,Bhutan,BTN,-,-,7954,400,0,,0,0
2017,Gabon,GAB,-,-,216,696,0,,0,0
2017,Israel,ISR,-,-,469,691,0,,0,0
2017,"Dem. People's Rep. of Korea",PRK,-,-,1176,587,0,,0,0
2017,Malaysia,MYS,-,-,540,9478,0,,0,0
2017,Nicaragua,NIC,-,-,1467,2722,0,,0,0
2018,Gabon,GAB,-,-,342,739,0,,0,0
2018,Israel,ISR,-,-,492,683,0,,0,0
2020,Gabon,GAB,-,-,454,1115,0,,0,0
2020,Israel,ISR,-,-,373,663,0,,0,0
2015,Brazil,BRA,-,-,893,2151,0,,0,0
2015,Chile,CHL,-,-,554,149,0,,0,0
2015,"Dominican Rep.",DOM,-,-,382,1709,0,,0,0
2015,Indonesia,IDN,-,-,13947,2637,0,,0,0
2016,Brazil,BRA,-,-,803,3760,0,,0,0
2016,Chile,CHL,-,-,495,200,0,,0,0
2016,Djibouti,DJI,-,-,1437,831,0,,0,0
2016,"Dem. People's Rep. of Korea",PRK,-,-,1419,526,0,,0,0
2016,Mozambique,MOZ,-,-,48,5702,15128,,0,0
2016,Nicaragua,NIC,-,-,1409,2125,0,,0,0
2016,Thailand,THA,-,-,148,950,0,,0,0
2017,Chile,CHL,-,-,493,350,0,,0,0
2017,Djibouti,DJI,-,-,1761,1286,0,,0,0
2018,Argentina,ARG,-,-,112,489,0,,0,0
2018,Croatia,HRV,-,-,24105,79,0,,0,4376
2018,Jamaica,JAM,-,-,2448,1495,0,,0,0
2018,Romania,ROU,-,-,1155,4253,0,,0,0
2019,Bahrain,BHR,-,-,557,156,0,,0,0
2019,Israel,ISR,-,-,452,690,0,,0,0
2019,Malaysia,MYS,-,-,906,21259,0,,0,0
2019,Zambia,ZMB,-,-,259,459,0,,0,5
2015,"Dem. People's Rep. of Korea",PRK,-,-,1094,223,0,,0,0
2016,"Bolivia (Plurinational State of)",BOL,-,-,530,411,0,,0,0
2016,Indonesia,IDN,-,-,13056,3581,0,,0,0
2017,"Bolivia (Plurinational State of)",BOL,-,-,520,865,0,,0,0
2017,Croatia,HRV,-,-,24869,268,0,,0,8019
2017,Mozambique,MOZ,-,-,48,12581,15128,,0,0
2018,Djibouti,DJI,-,-,2124,1100,0,,0,0
2018,Malaysia,MYS,-,-,817,15037,0,,0,0
2019,Romania,ROU,-,-,1352,3918,0,,0,0
2020,Comoros,COM,-,-,748,2688,0,,0,0
2020,Jamaica,JAM,-,-,2526,1902,0,,0,0
2020,Romania,ROU,-,-,1343,3720,0,,0,0
2015,"Bolivia (Plurinational State of)",BOL,-,-,566,342,0,,0,0
2016,Cambodia,KHM,-,-,12428,380,0,,0,0
2016,"Dominican Rep.",DOM,-,-,359,2354,0,,0,0
2016,"United States of America",USA,-,-,302,286,0,,0,7
2017,Brazil,BRA,-,-,851,6786,0,,0,0
2017,Cambodia,KHM,-,-,12238,1578,0,,0,0
2017,Romania,ROU,-,-,1210,3256,0,,0,0
2018,"Bolivia (Plurinational State of)",BOL,-,-,502,1004,0,,0,0
2018,Mozambique,MOZ,-,-,57,8977,0,,0,0
2019,Djibouti,DJI,-,-,2351,838,0,,0,0
2019,Jamaica,JAM,-,-,2529,1798,0,,0,0
2019,Mozambique,MOZ,-,-,77,8765,180516,,0,0
2020,Cambodia,KHM,-,-,11862,916,0,,0,0
2020,Mozambique,MOZ,-,-,81,8674,668038,,0,0
2020,Zambia,ZMB,-,-,252,475,0,,0,5
2015,Turkmenistan,TKM,-,-,446,1205,0,,0,0
2016,Guatemala,GTM,-,-,12549,46222,0,,0,0
2016,Croatia,HRV,-,-,26231,343,0,,0,14518
2016,Israel,ISR,-,-,487,548,0,,0,0
2016,Romania,ROU,-,-,1195,2520,0,,0,0
2017,"Dominican Rep.",DOM,-,-,427,3159,0,,0,0
2018,Cambodia,KHM,-,-,12139,749,0,,0,0
2018,"Dominican Rep.",DOM,-,-,472,3406,0,,0,0
2019,Cambodia,KHM,-,-,11986,865,0,,0,0
2020,Djibouti,DJI,-,-,2419,883,0,,0,1301
2015,Cambodia,KHM,-,-,12801,372,0,,0,0
2015,Kuwait,KWT,-,-,1076,431,0,,0,0
2015,Mongolia,MNG,-,-,2198,3529,0,,0,0
2016,Mongolia,MNG,-,-,2282,3831,0,,0,0
2016,Turkmenistan,TKM,-,-,371,1069,0,,0,0
2018,Chile,CHL,-,-,479,514,0,,0,0
2018,Mongolia,MNG,-,-,2249,4389,0,,0,5
2019,"Bolivia (Plurinational State of)",BOL,-,-,514,1238,0,,0,0
2020,Argentina,ARG,-,-,99,1189,0,,0,5
2020,"Bolivia (Plurinational State of)",BOL,-,-,535,1370,0,,0,0
2015,Guatemala,GTM,-,-,10284,26951,0,,0,3500
2015,Haiti,HTI,-,-,34762,9263,0,,0,6264
2015,Croatia,HRV,-,-,33452,89,0,,0,14070
2015,"South Africa",ZAF,-,-,447,844,0,,0,5
2016,Benin,BEN,-,-,479,1145,0,,0,6
2016,Haiti,HTI,-,-,29671,22454,0,,0,22930
2016,Mexico,MEX,-,-,10387,64256,0,,0,0
2016,"South Africa",ZAF,-,-,452,1075,0,,0,7
2017,Turkmenistan,TKM,-,-,365,1115,0,,0,0
2019,Argentina,ARG,-,-,99,932,0,,0,5
2019,Indonesia,IDN,-,-,12039,4325,0,,0,0
2019,"North Macedonia",MKD,-,-,1784,2533,0,,0,0
2020,"Dominican Rep.",DOM,-,-,550,4244,0,,0,0
2020,Indonesia,IDN,-,-,13027,4940,0,,0,170
2015,Benin,BEN,-,-,400,1141,0,,0,6
2015,Mexico,MEX,-,-,11340,46250,0,,0,0
2015,"United States of America",USA,-,-,4824,245,0,,0,10
2016,"North Macedonia",MKD,-,-,1730,7054,0,,0,0
2016,Niger,NER,-,-,1230,838,121391,,0,14678
2016,Peru,PER,-,-,2599,2290,0,,0,0
2017,Guatemala,GTM,-,-,16284,72726,0,,0,0
2017,Indonesia,IDN,-,-,12485,5384,0,,0,0
2017,"South Africa",ZAF,-,-,461,1608,0,,0,5
2018,Guatemala,GTM,-,-,19128,86875,0,,0,24
2018,Indonesia,IDN,-,-,12148,3395,0,,0,0
2018,"North Macedonia",MKD,-,-,1721,3228,0,,0,0
2019,Chile,CHL,-,-,486,1253,0,,0,0
2019,Ecuador,ECU,-,-,1644,19341,0,,0,0
2019,Mongolia,MNG,-,-,2364,4061,0,,0,10
2020,"North Macedonia",MKD,-,-,1576,1715,0,,0,10
2020,Mexico,MEX,-,-,15398,111728,0,,0,0
2020,Mongolia,MNG,-,-,2277,4127,0,,0,8
2015,"North Macedonia",MKD,-,-,1769,14609,0,,0,0
2015,"Rep. of Moldova",MDA,-,-,2289,3437,0,,0,0
2015,Romania,ROU,-,-,1731,1377,0,,0,0
2015,"Saudi Arabia",SAU,-,-,686,561,0,,0,10
2016,Ecuador,ECU,-,-,1041,13682,0,,0,0
2016,Guinea-Bissau,GNB,-,-,1650,1866,0,,0,0
2016,Kuwait,KWT,-,-,1013,650,0,,0,0
2016,"Rep. of Moldova",MDA,-,-,2316,4354,0,,0,0
2017,"North Macedonia",MKD,-,-,1653,4038,0,,0,0
2017,Mexico,MEX,-,-,11679,85078,0,,0,0
2017,Mongolia,MNG,-,-,2227,4169,0,,0,5
2017,Peru,PER,-,-,2588,3497,0,,0,0
2017,"United States of America",USA,-,-,310,2196,0,,0,6
2018,Turkmenistan,TKM,-,-,457,1264,0,,0,0
2018,"United States of America",USA,-,-,333,2834,0,,0,0
2019,"Dominican Rep.",DOM,-,-,546,4039,0,,0,0
2019,Guatemala,GTM,-,-,22770,119577,0,,0,47836
2020,Chile,CHL,-,-,659,2111,0,,0,0
2020,Ecuador,ECU,-,-,1689,22090,0,,0,0
2020,"Rep. of Moldova",MDA,-,-,2206,5510,0,,0,0
2015,Ecuador,ECU,-,-,1006,10415,0,,0,0
2015,Peru,PER,-,-,3591,1530,0,,0,0
2017,Benin,BEN,-,-,572,1131,0,,0,6
2017,Guinea-Bissau,GNB,-,-,1870,3502,0,,0,0
2017,Haiti,HTI,-,-,28424,37018,0,,0,43871
2017,Niger,NER,-,-,1363,2399,129015,,0,14820
2018,Brazil,BRA,-,-,1038,8570,0,,0,0
2018,Ecuador,ECU,-,-,1424,17727,0,,0,0
2019,Turkmenistan,TKM,-,-,478,576,0,,0,0
2020,Guatemala,GTM,-,-,24544,146111,0,,0,27264
2020,Turkmenistan,TKM,-,-,498,585,0,,0,0
2015,Guinea-Bissau,GNB,-,-,1472,1921,0,,0,0
2016,"Burkina Faso",BFA,-,-,2352,4195,0,,0,0
2017,Ecuador,ECU,-,-,1251,17341,0,,0,0
2017,Kuwait,KWT,-,-,1097,951,0,,0,5
2018,Albania,ALB,-,-,13512,21071,0,,0,0
2018,Haiti,HTI,-,-,27517,40973,0,,0,0
2018,Mexico,MEX,-,-,12870,89794,0,,0,0
2018,Peru,PER,-,-,2579,4895,0,,0,0
2020,Brazil,BRA,-,-,1548,16857,0,,0,0
2017,"Burkina Faso",BFA,-,-,2694,5557,2350,,0,0
2017,"Rep. of Moldova",MDA,-,-,2339,3418,0,,0,0
2018,Guinea-Bissau,GNB,-,-,2043,2850,0,,0,0
2018,Kuwait,KWT,-,-,1251,1220,0,,0,0
2018,"South Africa",ZAF,-,-,482,2399,0,,0,5
2019,Brazil,BRA,-,-,1399,12036,0,,0,0
2019,Haiti,HTI,-,-,26734,65722,0,,0,0
2019,Kuwait,KWT,-,-,1300,1403,0,,0,10
2019,"Rep. of Moldova",MDA,-,-,2427,5656,0,,0,0
2019,Mexico,MEX,-,-,14621,101672,0,,0,0
2019,"South Africa",ZAF,-,-,441,2841,0,,0,6
2020,Kuwait,KWT,-,-,1422,1415,0,,0,15
2020,"South Africa",ZAF,-,-,474,3225,0,,0,6
2020,"United States of America",USA,-,-,350,2491,0,,0,7
2015,Albania,ALB,-,-,10404,42155,0,,0,0
2015,"Burkina Faso",BFA,-,-,2147,2691,0,,0,0
2015,Honduras,HND,-,-,6847,19456,174000,,0,5100
2015,Niger,NER,-,-,1383,763,137337,,0,70000
2016,Albania,ALB,-,-,11060,23760,0,,0,0
2016,Honduras,HND,-,-,10509,35198,174000,,0,4800
2017,Honduras,HND,-,-,14424,59782,174000,,0,3200
2018,Benin,BEN,-,-,659,1078,0,,0,6
2018,"Rep. of Moldova",MDA,-,-,2397,4537,0,,0,0
2019,Albania,ALB,-,-,15027,19047,0,,0,0
2015,Kyrgyzstan,KGZ,-,-,2498,2263,0,,0,0
2015,Mauritania,MRT,-,-,34656,7474,0,,0,5
2015,"El Salvador",SLV,-,-,14778,31450,0,,0,10100
2015,"Venezuela (Bolivarian Republic of)",VEN,-,-,7455,15087,0,,0,0
2016,"Saudi Arabia",SAU,-,-,937,987,0,,0,9
2017,Albania,ALB,-,-,12168,18761,0,,0,0
2019,"United States of America",USA,-,-,298,3124,0,,0,12
2020,Albania,ALB,-,-,15523,17628,0,,0,0
2020,"Bosnia and Herzegovina",BIH,-,-,15579,1358,96305,,0,1128
2020,Haiti,HTI,-,-,25649,80225,0,,0,130
2020,Mauritania,MRT,-,-,37931,9252,0,,0,0
2015,Philippines,PHL,-,-,583,1886,63174,,0,80057
2016,Mauritania,MRT,-,-,36263,7386,0,,0,5
2016,Philippines,PHL,-,-,426,3119,87418,,0,80053
2016,"United Rep. of Tanzania",TZA,-,-,579,1215,0,,0,10
2017,Philippines,PHL,-,-,443,8081,311943,,0,80049
2017,"Saudi Arabia",SAU,-,-,1219,1247,0,,0,9
2017,"United Rep. of Tanzania",TZA,-,-,655,1455,0,,0,15
2018,Honduras,HND,-,-,18857,76526,174001,,0,46419
2018,Mauritania,MRT,-,-,37050,8121,0,,0,0
2018,Philippines,PHL,-,-,520,3804,77651,,0,80038
2018,"United Rep. of Tanzania",TZA,-,-,723,1659,0,,0,10
2019,"Bosnia and Herzegovina",BIH,-,-,16556,1488,96421,,0,48907
2019,Guinea-Bissau,GNB,-,-,2093,2669,0,,0,0
2019,Mauritania,MRT,-,-,37423,8585,0,,0,0
2020,Guinea-Bissau,GNB,-,-,1638,2713,0,,0,0
2020,"Saudi Arabia",SAU,-,-,2003,1241,0,,0,26
2015,Kazakhstan,KAZ,-,-,2263,1565,0,,0,0
2015,Tajikistan,TJK,-,-,790,1451,0,,0,0
2016,Kazakhstan,KAZ,-,-,2366,2225,0,,0,0
2016,"El Salvador",SLV,-,-,19617,62163,0,,0,9800
2017,Mauritania,MRT,-,-,36525,7543,0,,0,5
2018,Belarus,BLR,-,-,3526,3282,0,,0,0
2018,"Bosnia and Herzegovina",BIH,-,-,16956,1619,96830,,0,48907
2019,Honduras,HND,-,-,26351,123011,247090,,0,72837
2019,Peru,PER,-,-,2765,8671,0,,0,0
2019,"Saudi Arabia",SAU,-,-,1721,1418,0,,0,26
2019,"United Rep. of Tanzania",TZA,-,-,695,1964,0,,0,45
2020,Kyrgyzstan,KGZ,-,-,2883,2695,0,,0,0
2017,Kazakhstan,KAZ,-,-,2406,3514,0,,0,0
2017,Kyrgyzstan,KGZ,-,-,2771,2570,0,,0,0
2018,Kazakhstan,KAZ,-,-,2520,5833,0,,0,0
2018,Kyrgyzstan,KGZ,-,-,2934,2721,0,,0,0
2018,Nicaragua,NIC,-,-,1671,32265,0,,0,0
2018,"Saudi Arabia",SAU,-,-,1492,1436,0,,0,10
2019,Belarus,BLR,-,-,3425,4013,0,,0,0
2019,Kyrgyzstan,KGZ,-,-,2963,2594,0,,0,0
2019,Niger,NER,-,-,3063,2472,191902,,0,29882
2019,Philippines,PHL,-,-,552,4733,178897,,0,55029
2020,Benin,BEN,-,-,606,1350,0,,0,12
2020,Belarus,BLR,-,-,3139,4698,0,,0,0
2020,Peru,PER,-,-,2834,10583,0,,0,500353
2015,Belarus,BLR,-,-,4117,1472,0,,0,0
2015,"Bosnia and Herzegovina",BIH,-,-,18763,7015,98324,,0,52437
2015,"South Sudan",SSD,-,-,778722,4104,1790427,,0,30
2015,"United Rep. of Tanzania",TZA,-,-,810,1577,0,,0,15
2016,"Viet Nam",VNM,-,-,329341,4538,0,,0,68
2016,Tajikistan,TJK,-,-,932,3198,0,,0,0
2017,Belarus,BLR,-,-,3650,2862,0,,0,0
2017,"El Salvador",SLV,-,-,25876,104901,71500,,0,4200
2018,"Burkina Faso",BFA,-,-,11447,4949,47030,,0,0
2018,Niger,NER,-,-,2715,2053,156137,,0,25731
2019,Benin,BEN,-,-,721,1222,0,,0,6
2019,Kazakhstan,KAZ,-,-,2757,6984,0,,0,0
2019,Nicaragua,NIC,-,-,4376,67150,0,,0,224
2020,Honduras,HND,-,-,34456,148935,247090,,0,115567
2020,Kazakhstan,KAZ,-,-,2741,5978,0,,0,0
2020,Niger,NER,-,-,18853,4104,298458,,0,34324
2020,Nicaragua,NIC,-,-,8701,62085,0,,0,1665
2020,Philippines,PHL,-,-,471,4989,150368,,0,129467
2016,Belarus,BLR,-,-,3831,1985,0,,0,0
2016,"Bosnia and Herzegovina",BIH,-,-,18194,3108,98324,,0,52437
2016,Zimbabwe,ZWE,-,-,18141,43191,0,,0,161
2017,Armenia,ARM,-,-,10786,14907,0,,0,8
2019,Tajikistan,TJK,-,-,1987,2667,0,,0,0
2020,Armenia,ARM,-,-,10334,8850,0,,0,0
2015,Tunisia,TUN,-,-,1554,2329,0,,0,7
2017,Tajikistan,TJK,-,-,1369,3617,0,,0,0
2018,Tajikistan,TJK,-,-,1695,3192,0,,0,0
2018,Tunisia,TUN,-,-,1985,2749,0,,0,0
2020,Tajikistan,TJK,-,-,2219,2459,0,,0,0
2015,Azerbaijan,AZE,-,-,9707,5212,618220,,0,0
2016,Armenia,ARM,-,-,10707,13092,0,,0,12
2016,Gambia,GMB,-,-,11589,18888,0,,0,0
2016,Kyrgyzstan,KGZ,-,-,2571,2368,0,,0,0
2018,Senegal,SEN,-,-,18208,17409,0,,0,0
2018,"Viet Nam",VNM,-,-,334464,5571,0,,0,68
2019,Armenia,ARM,-,-,10962,11102,0,,0,5
2020,"Burkina Faso",BFA,-,-,15694,5110,1074993,,0,3803
2020,"United Rep. of Tanzania",TZA,-,-,689,1900,0,,0,35
2015,Colombia,COL,-,-,340116,6879,6939067,,0,0
2016,Azerbaijan,AZE,-,-,10118,8098,613129,,0,0
2016,Senegal,SEN,-,-,23054,16301,0,,0,0
2016,"Venezuela (Bolivarian Republic of)",VEN,-,-,7543,45074,0,,0,0
2017,Azerbaijan,AZE,-,-,10893,9541,612785,,0,0
2017,"Bosnia and Herzegovina",BIH,-,-,17690,1886,98574,,0,48907
2017,Jordan,JOR,-,-,2119,3467,0,,0,60
2018,"El Salvador",SLV,-,-,32562,119271,71501,,0,27285
2019,"Burkina Faso",BFA,-,-,11733,5000,560033,,0,2190
2019,"El Salvador",SLV,-,-,41816,136430,71500,,0,33192
2019,"Serbia and Kosovo: S/RES/1244 (1999)",SRB,-,-,31251,7476,214696,,0,0
2020,"El Salvador",SLV,-,-,45640,149542,71500,,0,20226
2020,"Viet Nam",VNM,-,-,316728,9440,0,,0,68
2015,Zimbabwe,ZWE,-,-,21332,57376,0,,0,135
2016,"South Sudan",SSD,-,-,1436707,5792,1853924,,0,0
2017,Colombia,COL,-,-,191635,32478,7677609,,0,0
2017,Gambia,GMB,-,-,14564,22214,0,,0,0
2017,Tunisia,TUN,-,-,1826,2330,0,,0,7
2019,Georgia,GEO,-,-,7519,19742,286216,,0,0
2019,"Viet Nam",VNM,-,-,316441,8104,0,,0,68
2020,"Serbia and Kosovo: S/RES/1244 (1999)",SRB,-,-,29976,7105,213018,,0,139
2015,Armenia,ARM,-,-,11211,8491,0,,0,14
2016,Morocco,MAR,-,-,2240,7251,0,,0,9
2016,Tunisia,TUN,-,-,1687,2062,0,,0,7
2017,"Viet Nam",VNM,-,-,334064,7115,0,,0,68
2018,Armenia,ARM,-,-,11040,13697,0,,0,5
2018,Azerbaijan,AZE,-,-,11246,9318,620423,,0,0
2018,Gambia,GMB,-,-,17237,14016,0,,0,0
2018,Georgia,GEO,-,-,6983,21006,282382,,0,0
2019,Azerbaijan,AZE,-,-,11626,8237,652326,,0,0
2019,Gambia,GMB,-,-,17813,9223,0,,0,0
2020,Gambia,GMB,-,-,10579,7091,0,,0,0
2020,Georgia,GEO,-,-,7346,15408,288538,,0,0
2020,Tunisia,TUN,-,-,1636,2828,0,,0,11
2015,Chad,TCD,-,-,14921,3267,51999,,0,30000
2015,Jordan,JOR,-,-,1836,1829,0,,0,92
2015,Morocco,MAR,-,-,1760,5575,0,,0,11
2015,Nepal,NPL,-,-,9052,8961,0,,0,0
2015,"Viet Nam",VNM,-,-,313152,4373,0,,0,265
2016,Colombia,COL,-,-,311059,12581,7410816,,0,0
2016,Jordan,JOR,-,-,1919,2433,0,,0,131
2017,Nepal,NPL,-,-,8414,13186,0,,0,382
2017,Zimbabwe,ZWE,-,-,17420,21760,0,,0,169
2018,Nepal,NPL,-,-,8589,9074,0,,0,328
2018,Zimbabwe,ZWE,-,-,15618,17121,0,,0,110
2019,Nepal,NPL,-,-,8033,9940,0,,0,345
2019,Senegal,SEN,-,-,17208,15338,0,,0,0
2019,Tunisia,TUN,-,-,2068,2680,0,,0,14
2019,Zimbabwe,ZWE,-,-,10045,16179,270000,,0,121
2020,Azerbaijan,AZE,-,-,101468,6425,653921,,0,0
2020,Zimbabwe,ZWE,-,-,8575,14614,0,,0,132
2015,Gambia,GMB,-,-,8473,12820,0,,0,0
2015,Georgia,GEO,-,-,6505,9245,268416,,0,0
2015,"Unknown ",,-,-,120122,1047315,0,,0,14244
2016,Georgia,GEO,-,-,6405,14147,273765,,0,0
2016,"Serbia and Kosovo: S/RES/1244 (1999)",SRB,-,-,36928,21699,219633,,0,0
2017,Georgia,GEO,-,-,6535,16466,278103,,0,0
2017,Senegal,SEN,-,-,26584,25181,0,,0,0
2017,"Serbia and Kosovo: S/RES/1244 (1999)",SRB,-,-,33246,12807,217453,,0,0
2018,Kenya,KEN,-,-,7480,7287,0,,0,0
2018,"Serbia and Kosovo: S/RES/1244 (1999)",SRB,-,-,32368,9702,215794,,0,0
2019,Myanmar,MMR,-,-,1076825,37534,312018,,0,119
2020,Kenya,KEN,-,-,7422,8958,0,,0,44000
2020,Nepal,NPL,-,-,7483,10309,0,,0,396
2020,Senegal,SEN,-,-,13986,15786,0,,0,0
2015,Angola,AGO,-,-,11855,3251,0,,0,34965
2015,Kenya,KEN,-,-,7902,3258,0,,0,12
2016,Kenya,KEN,-,-,7526,3556,0,,0,20
2016,Nepal,NPL,-,-,8365,11531,0,,0,585
2017,"Venezuela (Bolivarian Republic of)",VEN,-,-,9272,148096,0,,0,345585
2018,Jordan,JOR,-,-,2426,4119,0,,0,1431
2019,Kenya,KEN,-,-,7705,7881,0,,0,5
2020,Myanmar,MMR,-,-,1103246,40207,370320,,0,151
2015,Senegal,SEN,-,-,21267,14301,0,,0,0
2015,"Serbia and Kosovo: S/RES/1244 (1999)",SRB,-,-,38621,53292,220002,,0,0
2016,Chad,TCD,-,-,14176,3178,124342,,0,16718
2016,Uzbekistan,UZB,-,-,3824,3087,0,,0,0
2017,Kenya,KEN,-,-,7567,5714,0,,0,12
2017,Morocco,MAR,-,-,3089,6853,0,,0,15
2017,"South Sudan",SSD,-,-,2439888,6452,1903953,,0,10000
2018,Myanmar,MMR,-,-,1145149,30459,370306,,0,98
2019,Togo,TGO,-,-,8034,3381,0,,0,0
2015,Uzbekistan,UZB,-,-,4197,2659,0,,0,0
2016,Myanmar,MMR,-,-,490285,56023,375016,,0,261
2016,Togo,TGO,-,-,8296,2645,0,,0,0
2017,Chad,TCD,-,-,16325,3105,99983,,0,37317
2017,Myanmar,MMR,-,-,1156742,41088,353108,,0,109
2018,Chad,TCD,-,-,10895,4401,165314,,0,16724
2018,Colombia,COL,-,-,138583,45674,7816473,,0,0
2019,Jordan,JOR,-,-,2313,4729,0,,0,1954
2020,Togo,TGO,-,-,7704,3330,0,,0,0
2015,Togo,TGO,-,-,8774,2128,0,,0,0
