"iati_id","prefix","title","summary","partner_funding","partner_accountable","partner_extending","partner_implementing","date_start","date_end","budget","recipient_country","location","location_code","topics","oecd_purpose","links","project_parent","project_child","project_sibling"
"T05-EUTF-HOA-SO-03-12","CTR","Joint Corrections Programme - JCP","Outcome 1: Somali Custodial Corps increasingly provides fair, humane and human rights compliant services to the Somali
Outcome 2: Community actors are participating in the improvement of prisoner welfare and community reintegration",,,,"United Nations Office on Drugs and Crime, EU Delegation Somalia",2019-01-01,2020-12-31,1e+06,"SO",,,"TFP.2",,"https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/8711/document/Annex_7_-_2019_ANNUAL_Joint_Corrections_Programme.docx","T05-EUTF-HOA-SO-03",,
"T05-EUTF-HOA-SO-46-04","CTR","Joint Corrections Programme - JCP","Outcome 1: Somali Custodial Corps increasingly provides fair, humane and human rights compliant services to the Somali

Outcome 2: Community actors are participating in the improvement of prisoner welfare and community reintegration",,,,"United Nations Office on Drugs and Crime, EU Delegation Somalia",2019-01-01,2020-12-31,1e+06,"SO",,,"TFP.4",,"https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/8710/document/Annex_7_-_2019_ANNUAL_Joint_Corrections_Programme.docx","T05-EUTF-HOA-SO-46",,
"T05-EUTF-HOA-SO-03-11","CTR","Joint Justice Programme - JJP","Outcome 1 focuses on federalization, state and institution building and support to the formal justice sector. Support will continue at the national level to build a federal architecture, policy and legislation and resources will also be allocated to developing new institutions and basic service delivery in the Federal Member States.

Outcome 2 focuses on ‘bottom-up’, community driven security and justice initiatives. This complements the work under Outcome 1, which is predominantly based on ‘top-down’ capacity building of State institutions to strengthen the operation of the formal justice system. This outcome is focused on the delivery of basic services to the communities to increase access to justice, particularly for women, children and IDPs, guarantee better protection of individuals’ rights and those at higher risk of insecurity, and provide a credible alternative to Al-Shabab courts as part of the P/CVE strategy. It will implement a number of pilot projects which will be expanded if successful. Success will be measured through a strong M&E framework.",,,,"International Development Law Organisation, United Nations Development Programme, EU Delegation Somalia",2019-01-01,2020-12-31,1e+06,"SO",,,"TFP.2",,"https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/8709/document/Annex_6_-_2019_ANNUAL__Joint_Justice_Programme.docx","T05-EUTF-HOA-SO-03",,
"T05-EUTF-HOA-SO-46-03","CTR","Joint Justice Programme - JJP","Outcome 1 focuses on federalization, state and institution building and support to the formal justice sector. Support will continue at the national level to build a federal architecture, policy and legislation and resources will also be allocated to developing new institutions and basic service delivery in the Federal Member States.

Outcome 2 focuses on ‘bottom-up’, community driven security and justice initiatives. This complements the work under Outcome 1, which is predominantly based on ‘top-down’ capacity building of State institutions to strengthen the operation of the formal justice system. This outcome is focused on the delivery of basic services to the communities to increase access to justice, particularly for women, children and IDPs, guarantee better protection of individuals’ rights and those at higher risk of insecurity, and provide a credible alternative to Al-Shabab courts as part of the P/CVE strategy. It will implement a number of pilot projects which will be expanded if successful. Success will be measured through a strong M&E framework.

​",,,,"International Development Law Organisation, United Nations Development Programme, EU Delegation Somalia",2019-01-01,2020-12-31,7e+06,"SO",,,"TFP.4",,"https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/8708/document/Annex_6_-_2019_ANNUAL__Joint_Justice_Programme.docx","T05-EUTF-HOA-SO-46",,
"T05-EUTF-HOA-SS-74-01","CTR","South Sudan Health Pooled Fund (HPF 3)","The Health Pooled Fund (HPF3) will reduce maternal and under -five mortality rates in South Sudan, through (i) the delivery of a basic package of health and nutrition services; (ii) promoting community engagement in health as a public good; (iii) supporting local health systems stabilisation.",,"EU Delegation South Sudan",,"Department for International Development UK",2020-01-01,2023-06-30,20625000,"SS",,,,,,"T05-EUTF-HOA-SS-74",,
"T05-EUTF-HoA-SS-74-02","CTR","South Sudan COVID-19 preparedness and response","This project supports diagnostic laboratories as a prerequisite to combating existing and emerging infections of local, regional, or global interest, including Covid-19.","WORLD HEALTH ORGANIZATION (WHO), EU Trust Fund for Africa","EU Delegation South Sudan",,"World Health Organization (2)",2020-05-01,2021-05-31,1e+06,"SS",,,,,,"T05-EUTF-HOA-SS-74",,
"T05-EUTF-HOA-SD-91","DEC","Humanitarian-Development Nexus: Strengthening preparedness and
response of the health system addressing the COVID-19 Pandemic in
Sudan","This aim of this project is to sustainably strengthen the health system in Sudan for epidemic preparedness and response addressing the needs of the COVID-19 pandemic in the the country.

Since there was a clear need to continue providing support to a COVID-19 response in Sudan that addresses the ongoing crisis and provides elements of a sustainable strengthening of the health system and epidemiological preparedness and response, a top-up of €10.2 million to this project was approved in September 2020.","World Health Organization (2), EU Trust Fund for Africa","EU Delegation Sudan",,"World Health Organization",,2023-04-17,20200000,"SD",,"SD",,,"https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/8680/document/T05-EUTF-HOA-SD-91_-_COVID-19_response_incl._rider.pdf","EU Trust Fund for Africa Results Framework",,
"T05-EUTF-SAH-NG-09","DEC","EU Support to the United Nations ‘One UN Response Plan to COVID-19 in Nigeria’","The European Union (EU), as well as other donors, will support the United Nations Development Programme (UNDP) to implement a ‘One UN Response Plan to COVID-19 in Nigeria’, with the objective to ensuring optimum care of the confirmed COVID-19 cases and contain further spread of the outbreak through an inclusive and nationally-owned COVID-19 response from a shared vision and a common strategy, based on the best international practice of similar processes in other countries. Its purpose is to coordinate and align collective efforts in partnership with the government, Civil Society Organisations (CSOs), private sector, international and national stakeholders with the aim to increase the availability, accessibility, affordability, adaptability and acceptability of COVID-19 response services in Nigeria. This is in recognition that a collaborative engagement is urgently required to amplify Government’s efforts to respond to COVID-19 given the multifaceted nature of the crisis and the potentially unprecedented implications to socioeconomic conditions in an already complex Humanitarian-Development-Peace (H-D-P) nexus context.",,"EU Delegation Nigeria",,"United Nations Development Programme",2020-05-06,2022-04-16,5e+07,"NG",,,"TFP.4",,"https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/8679/document/One_UN_COVID-19_Response_Basket_Fund_-_Q2_Report_1.pdf, https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/8679/document/Q1_Report_One_UN_COVID-19_Response_Basket_Fund..._1.pdf, https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/8679/document/Annex_I_T05-EUTF-SAH-NG-09.pdf","EU Trust Fund for Africa Results Framework",,
"T05-EUTF-SAH-REG-04-06","CTR","GAR-SI (Groupes d’Action Rapides – Surveillance et Intervention au Sahel) - Chad","Le programme contribuera au renforcement des capacités opérationnelles des autorités nationales pour permettre un contrôle effectif du territoire et élargir l´action de l´État de droit à l´ensemble du Sahel en créant des unités policières robustes, flexibles, mobiles, multidisciplinaires et autosuffisantes qui permettent un contrôle adéquat du territoire.",,"EU Delegation Chad",,,,2020-12-31,6300499,"TD",,,"TFP.4",,,"T05-EUTF-SAH-REG-04",,
"T05-EUTF-HOA-SD-94","DEC","EU support for the Family Support Programme and for the consolidation of social protection in Sudan","The Government of Sudan has solicited donor support to gear up short-term social assistance through a Family Support Programme (FPS), viewed as a central facet of its response to the COVID-19 pandemic, and as a foundation for its future long-term social protection system. The aim of the action is therefore to support social assistance through Governmental channels, so as to help the Transition Government in implementing the above-mentioned FSP with a view to mitigate the immediate impacts of COVID-19, while at the same time establishing a robust long-term inclusive social protection system.

To further support the action, on top of the initial €45 million foreseen for the programme, additional funds were approved in July 2021 (€20 million, bringing the total of the action to €65 million). The additional amount proposed is expected to enlarge Objective 1 of the action, namely delivering immediate social assistance and cash mitigation to households (cash transfers), including women, refugees, displaced people and people with disabilities.","EU Trust Fund for Africa","EU Delegation Sudan",,"World Bank",,2022-10-30,6.5e+07,"SD",,"SD","TFP.2",,"https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/8667/document/T05-EUTF-HOA-SD-94_-_Sudan_Family_Support_Programme_incl._rider.docx.pdf","EU Trust Fund for Africa Results Framework",,
"T05-EUTF-HOA-SO-16","DEC","Dulqaad iyo wada hadal - Promoting a culture of tolerance and dialogue in Somalia","This action will address instability and violent extremism in Somalia as a main driver of forced displacement in and outside the country. It will do so by facilitating community outreach and promoting more tolerance, dialogue and peaceful values, as well as supporting the efforts from the Federal Government to develop a policy for countering violent extremism. The action will be implemented nation-wide, with a focus on those areas where the EU is already investing in basic service delivery and livelihoods.",,"EU Delegation Somalia",,,,,6e+07,"SO",,,,,"https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/8666/document/T05-EUTF-HOA-SO-16_-_Promoting_a_culture_of_tolerance_and_dialo_L9h74XO.pdf","EU Trust Fund for Africa Results Framework",,
"T05-EUTF-HOA-SO-59-02","CTR","Somalia State and Resilience Building Contract","The action directly responds to objectives 2 and 4 of the Trust Fund, priority domains 1 of the Valletta Action Plan, and Sustainable Development Goals 1, 16 and 17.  The intervention logic of this action is that if the Somali federal state is increasingly legitimate and capacitated, and that the Somali federal project is consolidated, the government of Somalia will be able to continue on its path of reforms, and thus build a strong track record for international financial institutions (IFIs)' arrears clearance and Highly Indebted Poor Countries Initiative (HIPC)  Decision point, as well as be in a position to deliver more services to its population.",,"EU Delegation Somalia",,,,2021-10-15,99400000,"SO",,,,,,"T05-EUTF-HOA-SO-59",,
"T05-EUTF-HOA-SD-53-01","CTR","Humanitarian Development Nexus: Simple, Spatial, Survey Method (S3M) for Sudan","Sudan S3M-II will avail information about nutrition, WASH and health status at locality and sub-locality levels and to map information to monitor trends, reorient ongoing multi-sectoral efforts to reduce stunting, combat acute malnutrition and improve health status of Sudanese communities focusing on delivering services to the most in need areas. UNICEF and the Ministry of Health (MoH) will collaboratively work in 18 Sudan states to organize, collect and analyse data and produce the S3M-II report. This will be followed by dissemination and use of findings.",,"EU Delegation Sudan",,"UNICEF",,2020-04-01,1e+06,"SD",,,,,,"T05-EUTF-HOA-SD-53",,
"T05-EUTF-HOA-SD-38-07","CTR","Implementation of Sudan-Europe Creative Connections initiative","Implementation of a multiannual training program for Sudanese fashion designers and organise a public showcase of their productions. Implementation a multiannual training program for Sudanese musicians and organise a showcasing event of new musical productions. Implementation a multiannual training program for Sudanese film makers, and organise three editions of the Sudan-Europe Film Festival. Production of a collection of illustrated storybooks for children and  dissemination in schools. Production an  interactive guide to be implemented in the Khartoum National Antiquities Museum",,"EU Delegation Sudan",,,,2022-09-03,350000,"SD",,,,,,"T05-EUTF-HOA-SD-38",,
"T05-EUTF-HOA-SD-33-01","CTR"," LIVESTOCK EPIDEMIO-SURVEILLANCE PROJECT TO SUPPORT LIVELIHOODS OF VULNERABLE RURAL SMALLHOLDERS AND PASTORALISTS (LESP SLSP)","The intervention logic of the project is that by strengthening the resilience of pastoralist population – particularly in the South Eastern regions bordering with Ethiopia and South Sudan – a significant number of small scale farmers engaged in animal farming, will significantly improve their livelihoods, thus reducing forced migration. The well-being of livestock is crucial to enhance the resilience of pastoralist population. Indeed, the targeted regions are affected by uncontrolled migratory movements of livestock which bear the risk of outbreaks of animal diseases. The uncontrolled migratory movements result in higher livestock mortality and morbidity rates that limit livestock productivity at farmers' levels and impedes livestock trade and export. Insufficient epidemio-surveillance and disease control are the major causes to these problems and will therefore been tackled by the present programme.",,"EU Delegation Sudan",,"IFAD",,2022-05-15,8750000,"SD",,,,,,"T05-EUTF-HOA-SD-33",,
"T05-EUTF-HOA-ET-52-01","CTR","Sustainable reintegration support to Ethiopian returnees from Europe","To be completed",,"EU Delegation Ethiopia",,"Administration for Refugees and Returnees Affairs",,2021-04-28,1.5e+07,"ET",,,,,,"T05-EUTF-HOA-ET-52",,
"T05-EUTF-HOA-ET-51-01","CTR","Shire alliance: energy access for host communities and refugees in Ethiopia","The overall objective of this action is to improve the living conditions in the refugee camps and host communities by enhancing local capacity, creating livelihood opportunities, and improving the access to basic services using the cross-cutting impacts of energy. The action will be implemented following two main components. Firstly, it will improve the delivery of electricity through capacity building of EEU, refugees and host communities, improvement and extension of the electrical grid and installation of street lighting in refugee camps and host communities. It will enhance the capacity building of local entities, EEU, host communities and refugees to manage and operate the previous energy services. To this aim, innovative learning programmes will be developed for the different stakeholders both at theoretical and practical level. This action will give special attention to transfer these learning programmes to local entities in order to ensure their replication in the future. Secondly, it will create livelihood opportunities and improve the quality of life of refugees and host communities through capacity building, creation of businesses based on solar technology and distribution of Solar Home Systems, fostering employment and economic development. For this purpose, it will enhance the creation of business related with the energy services covered by the action (in this case solar energy), shared by host communities and refugees. There will be specific training and support for this process too. The aim of this capacity-building component is to guarantee the sustainability of the intervention once the implementation period is over. Coordination with local authorities involved in energy, education and gender issues will be crucial for the success of the intervention. In this sense, there have been already consultations at field level to promote their participation since the beginning of the project.",,"EU Delegation Ethiopia",,"Spanish Agency for International Development Cooperation ",,2020-05-03,3050000,"ET",,,,,,"T05-EUTF-HOA-ET-51",,
"T05-EUTF-HOA-ET-40-01","CTR","Capacity building and technical assistance to a Comprehensive Refugee Response Framework (CRRF) structure and Ethiopian government institutions","This action aims to support the GoE to shift from a ""care and maintenance"" to an approach which emphasises refugee self reliance , refugee mobility in the country and the integration of refugees into national and regional development processes. Framed within the Ethiopian National Action Plan for the implementation of the CRRF, based on NY Declaration, this action focuses on the pledges related to local integration  of refugees in protracted displacement and the expansion of the OCP, as well as pledges on access to employment and work permits, education and all others benefits to which a foreigner with a permanent legal residence is entitled.",,"EU Delegation Ethiopia",,,,2023-01-18,4200000,"ET",,,,,,"T05-EUTF-HOA-ET-40",,
"T05-EUTF-HOA-ET-24-03","CTR","Youth empowerment for successful transitions to decent work in Amhara and Somali regions of Ethiopia","The project will support and enable 9,000 vulnerable young men and women from wag himra and siti zones to acquire the required knowledge, skills, behaviour and attitudes which will help them to access safer and non-discriminatory wage based employment opportunities. Enhancing this, the action will engage multiple actors to come together and work in a coordinated manner towards this goal, involving the public and private sectors to support and develop decent entry-level work opportunities for vulnerable young men and women, and for beneficiaries to know about and take advantage of the job opportunities that do exist.",,"EU Delegation Ethiopia",,"Save the Children, Oxfam GB",,2020-10-01,5e+06,"ET",,,,,,"T05-EUTF-HoA-ET-24",,
"T05-EUTF-HOA-ET-24-01","CTR","Improving access to safely managed water supply in the resilience building program for Ethiopia (RESET II)","This project has three main outcomes: 1.	To produce Woreda based hydrogeological maps which other partners can use for developing groundwater resources to improve drilling success rates 2.	16 deep boreholes drilled based on geohydrological overlay maps and field-based geophysical assessment, functional and sustainably managed by capable and skilled communities 3.	Promotion of knowledge management and dissemination of the groundwater resources mapping exercise and resources among the main WASH stakeholders in Ethiopia. The proposed project will be implemented within 36 months in 41 Woredas in eight RESET Clusters in Amhara, Afar, Somali, Oromia and SNNP Regions of Ethiopia. The project is designed based on critical need in the sector and it is in line with the ongoing One WASH National Programme (OWNP) as well as UNICEF's 2016/2020 WASH Country Programme priorities. It will also ensure synergy with RESET II through the active participation and engagement of the EU Delegation and RESET II partners at all levels.",,"EU Delegation Ethiopia",,"UNICEF",,2020-12-12,4854149,"ET",,,,,,"T05-EUTF-HoA-ET-24",,
"T05-EUTF-HOA-ET-01-11","CTR","RESILIENCE BUILDING AND CREATION OF ECONOMIC OPPORTUNITIES IN ETHIOPIA (RESET II) : CRISIS MODIFIER FUND","The Crisis Modifier Mechanism (CMM) contributes to the overall objectives of the EU RESET program and aims to address the immediate, lifesaving and essential needs of all the EU RESET sectors and geographical areas affected by a crisis.  Additionally, the CMM will enhance EU RESET programming by responding to emergencies while simultaneously preserving established programming. As EU RESET programming targets areas which are highly vulnerable to disasters, the risk of shock during implementation is high and requires ongoing monitoring to ensure implementation.",,"EU Delegation Ethiopia",,,,2020-06-30,2300000,"ET",,,,,,"T05-EUTF-HOA-ET-01",,
"T05-EUTF-HOA-ET-01-09","CTR"," INNOVATION IN WATER DEVELOPMENT BORENA ZONE OROMOYA REGIONAL STATE (RESET II)","The Innovations in Water Development (IWD) initiative builds on CARE’s RESET II Promoting Resilient Livelihoods programme by adding additional investment in water development. IWD aims to increase access to water for 21,000 people through expanded water services. These new services will include both new and rehabilitated water services. The new services will be managed by new management groups and linked to other services were possible/feasible, for example linked to Health service facilities.",,"EU Delegation Ethiopia",,,,2020-08-31,1362000,"ET",,,,,,"T05-EUTF-HOA-ET-01",,
"T05-EUTF-SAH-TD-01-08","CTR","RESTE: LOT3 Travaux de réalisation et de réhabilitation de forages productifs pour hydraulique villageoise et forages hydrauliques semi-urbaine","Travaux de réalisation et de réhabilitation de forages  productifs pour hydraulique villageoise et forages hydrauliques  semi-urbaine dans les sous-préfectures de Mani, Massakory, Massaguet",,"EU Delegation Chad",,,2019-06-25,,655380,"TD",,,"TFP.2",,,"T05-EUTF-SAH-TD-01",,
"T05-EUTF-SAH-TD-01-07","CTR","RESTE: LOT 2 Travaux de réalisation et de réhabilitation de forages productifs pour hydraulique villageoise et forages hydrauliques semi-urbaine","Réalisation de forages productifs pour hydraulique villageoise et forages hydraulique semi-urbaine",,"EU Delegation Chad",,,,2020-03-24,847397,"TD",,"TD-LC, TD-LC","TFP.2",,,"T05-EUTF-SAH-TD-01",,
"T05-EUTF-SAH-TD-07-01","CTR","Programme de développement inclusif dans les zones d'accueil (DIZA) – zone Est","**L'objectif générale** de ce projet est d'améliorer les conditions de vie des populations hôtes et de réfugiés/retournés dans les zones d’accueil.

Les Objectifs Spécifiques sont les suivantes:

OS1 : Soutenir l’accès aux services de base et aux mécanismes de protection sociale pour toutes les populations (locales, retournées et réfugiées).

OS2 : Renforcer la création d'opportunités économiques et d'emplois afin de donner aux populations les moyens de parvenir à l’autosuffisance économique et à la sécurité alimentaire et nutritionnelle.

OS3 : Renforcer les mécanismes de concertation locale entre populations, autorités locales, secteur privé, services techniques et parties prenantes.",,"EU Delegation Chad",,"United Nations High Commissioner for Refugees",2019-04-17,,7e+06,"TD",,,"TFP.2",,,"T05-EUTF-SAH-TD-07",,
"T05-EUTF-NOA-REG-06-02","CTR","Towards a Holistic Approach to Labour Migration Governance and Labour Mobility in North Africa","The Action is designed as a sub-regional programme aiming for the strengthening of migrant workers’ protection mechanisms throughout the migration cycle and whether workers are leaving the region or seeking employment there.

Planned over 36 months, it covers **three countries: Egypt, Morocco and Tunisia **and will be inclusive of and open to other North Africa countries for sub-regional activities. The Action is aligned to existing policy frameworks at global (Sustainable Development Goals, Global Compact for Safe, Orderly, and Regular Migration) and regional (African Union Migration Policy Framework Plan of Action 2018-2030) levels and factored in preliminary consultations with relevant national stakeholders conducted in the preparation phase.","EU Trust Fund for Africa, Bundesministerium fur wirtschaftliche Zusammenarbeit und Entwicklung","EU Delegation to Tunisia, EU Delegation to Egypt, EU Delegation to Morocco",,"International Organization for Migration, OIT - ILO - Organisation Internationale du Travail - International Labour Organization",2019-11-01,2022-10-31,1.5e+07,"EG, MA, TN",,,"TFP.3",,,"T05-EUTF-NOA-REG-06",,
"T05-EUTF-NOA-LY-10","DEC","Scale-up of programme “Managing mixed migration flows in Libya” - local governance and socio-economic development pillar","The proposed action falls under the North of Africa Window of the European Union Trust Fund for stability and addressing the root-causes of irregular migration and displaced persons in Africa (EUTF – NoA). It builds on the approach and the objectives set under the 'local governance and socio-economic development Pillar' of the programme ‘Managing mixed migration flows in Libya through supporting local socio-economic development’ (T05-EUTF-NOA-LY-03), building up existing and expanding existing activities with additional funding. More specifically, it is a scale-up of the initiatives ‘Support to municipalities in Libya (SML)’ currently implemented by the GIZ, and ‘Resilience building for vulnerable children in Libya, including host communities, migrant and refugee children’ currently implemented by UNICEF.

In line with the EUTF-NoA priorities, the Overall Objective of this action is to contribute to the community stabilization efforts in Libya through improving local governance in the framework of (i) the implementation of the decentralization policy, and (ii) an improved access for vulnerable children to qualitative and inclusive child protection and education services in Libya.",,"EU Delegation to Libya",,"GIZ, UNICEF",,2021-12-10,1.7e+07,"LY",,,"TFP.3",,"https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/8636/document/T05-EUTF-NOA-LY-10_modified.pdf","EU Trust Fund for Africa Results Framework","T05-EUTF-NOA-LY-10-01",
"T05-EUTF-NOA-REG-13","DEC","EU-IOM Joint Initiative in North Africa - Top up to Voluntary Humanitarian Return and Reintegration Assistance","This new Action aims to provide an additional indicative number of 15,000 vulnerable or stranded migrants with voluntarily return assistance. The Action is expected to mainly support voluntary humanitarian returns from Libya to their country of origin. In line with the principles of the EU-IOM Joint Initiative, returning migrants should be provided with access to reintegration support in their countries of origin. For those returning to a country where there is no EU-IOM reintegration project in place, reintegration assistance will also be provided through this project.  This represents an estimated percentage of 10% or more (i.e. 1,500 or more) of the number of migrants assisted to return. This Action comes as a top up to the EU-IOM Joint Initiative for Migrant Protection and Reintegration in North Africa and will be implemented by the International Organization for Migration (IOM), under which it is expected that the targeted caseload for voluntary return assistance will be exhausted by the end of 2019 or early 2020 if the current pace of voluntary returns is sustained. Reintegration assistance of migrants returning through this Action to countries in the other two windows of the EUTF (Sahel and Lake Chad and Horn of Africa) as soon as channelled through the Joint Initiative in these two regions if additional funding can be identified.","EU Trust Fund for Africa","EU Delegation to Libya",,"International Organization for Migration",,2021-12-31,2.4e+07,"LY",,,"TFP.3",,"https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/8635/document/T05-EUTF-NOA-REG-13_clean.pdf","EU Trust Fund for Africa Results Framework","T05-EUTF-NOA-REG-13-01",
"T05-EUTF-NOA-MA-07","DEC","Appui aux actions des autorités marocaines contre les réseaux facilitant les flux migratoires irréguliers","La présente action est proposée dans le cadre du Fonds Fiduciaire d’Urgence de l’Union européenne en faveur de la stabilité et de la lutte contre les causes profondes de la migration irrégulière et du phénomène des personnes déplacées en Afrique, volet Afrique du Nord (FFU-AdN).

L’action s’inscrit dans le dialogue migration et mobilité relancé avec le Maroc; elle vise à renforcer les capacités des institutions marocaines, et en particulier du Ministère de l'Intérieur (MI), dans la lutte contre le trafic de migrants et la traite d’êtres humains, incluant un renforcement de la gestion intégrée des frontières au Maroc, conformément au programme 81 de la Stratégie Nationale de l’Immigration et de l’Asile au Maroc (SNIA). Par ailleurs, cette action renforcera le dialogue avec le Maroc sur la migration, notamment dans le domaine des efforts concernant la sensibilisation sur les risques associés à la migration irrégulière des jeunes et des mineurs non accompagnés.

Les actions qui seront appuyées sont basées sur les « Lignes directrices pour un plan d’action de renforcement de la stratégie opérationnelle de lutte contre le trafic illicite de migrants et la traite d’êtres humains » élaborée par le Ministère de l’Intérieur (MdI) du Royaume du Maroc, comme partie prenante clé pour atteindre les objectifs précités.","EU Trust Fund for Africa","EU Delegation to Morocco",,,2019-12-10,2021-09-30,101750000,"MA",,,"TFP.3",,"https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/8634/document/T05-EUTF-NOA-MA-07_2020.pdf","EU Trust Fund for Africa Results Framework",,
"T05-EUTF-HOA-UG-39-03","CTR","Building Self-Reliance in Northern Uganda","The proposed Action (or the Project) will be carried out by a consortium formed by Action Against Hunger (ACF), the Lead, Norwegian Refugee Council (NRC), Welthungerhilfe (WHH) and PALM CORPS (Promoters of Agriculture and Linkages to Market) a local NGO. The four organizations have a presence in all the targeted Districts, with ongoing projects providing on- and off-farm livelihoods support, skills development, financial literacy, and value chain development services among refugees and host population.  The overall objective of the project is to strengthen local authorities' coordination and development and local authority-led service delivery to all people in the refugee-hosting districts and to enable greater resilience and self-reliance among both refugee and host communities. 

The specific objective will directly contribute to the global objective by increasing the economic self-reliance of refugees and host populations. As per the theory of change developed by the consortium partners, the 6 following Expected Outputs have been designed to enable the achievement of the specific objective: O1. Increased financial inclusion of refugees and host populations and linkages created to formal and non-formal saving and credit-based interventions; O2. Enhanced carrying capacity of allocated land for refugees and increased food productivity and diversification all year-round; O3. Improved production, productivity and added value (local processing) of nutritious agricultural products for local and regional markets; O4. Small service providers/craft persons supported through flexible demand, market-oriented skills training. O5. Increased access to private sector jobs and internship opportunity; O6. Strengthened value chains and market linkages for both refugees and host communities.",,"EU Delegation Uganda",,"Action Against Hunger",,2023-07-17,9e+06,"UG",,,,,,"T05-EUTF-HOA-UG-39",,
"T05-EUTF-HOA-SD-90","DEC","EU OPM Sudan – Support to the Office of the Prime Minister","After three decades of authoritarian regime, Sudan has embarked on a difficult political transition. On the basis of the Constitutional Agreement reached in Khartoum (17 August 2019), the country is now led by a civilian-led Government. Within it, there are 16 civilians – including the Prime Minister – and two military. The transition represents a critical opportunity to meet the legitimate aspirations of the Sudanese population for a more peaceful, prosperous and inclusive country.  The EU is firmly committed to back the transition politically and economically. This support is expected to contribute to the stabilisation of the country and its inclusive development, thereby addressing the root-causes of migration.  The overall objective of this project is, therefore, to contribute to the democratic transition in Sudan.",,"EU Delegation Sudan",,,,2022-11-20,7e+06,"SD",,"SD-KH","TFP.4",,"https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/8611/document/bT05-EUTF-HOA-SD-90_Support_to_the_Office_of_the_Prime_Minister_EQpfZTY.pdf","EU Trust Fund for Africa Results Framework","T05-EUTF-HOA-SD-90-01",
"T05-EUTF-HOA-REG-81","DEC","Enhancing protection, lifesaving assistance and sustainable solutions for evacuees from Libya through the Emergency Transit Mechanism (ETM) in Rwanda","This project will support the activities of UNHCR in providing protection and emergency assistance as well as durable solutions to refugees and asylum-seekers in Libya through emergency evacuation to Rwanda. It aims to provide a multi-sectoral response for refugees and asylum seekers at risk in urban areas and those being held in Libyan detention centres. UNHCR expects to provide transit support to approximately 1,500 persons over 16 months from September 2019 through December 2020.

To increase support to the ETM in Rwanda, in June 2020 a top-up of €2.5 million was approved.","United Nations High Commissioner for Refugees, EU Trust Fund for Africa","EU Delegation Rwanda",,"United Nations High Commissioner for Refugees",,2019-12-13,12800000,"RW",,"RW","TFP.2",,"https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/8606/document/T05-EUTF-HOA-REG-81_-_ETM_Rwanda_incl._1_rider.pdf","EU Trust Fund for Africa Results Framework","T05-EUTF-HOA-REG-81-01",
"T05-EUTF-HOA-REG-80","DEC","Delivering durable solutions to forced displacement in the IGAD region through the implementation of the global compact on refugees (GCR)","This project supports the regional application of the Global Compact on Refugees (GCR) and its Comprehensive Refugee Response Framework (CRRF) via the Intergovernmental Authority on Development (IGAD). It aims to provide a political framework to underpin and further enhance reforms and programmes. The project seeks to ensure there are better links between regional and national action. Moreover, it seeks to help the IGAD process address all refugees in the region in the context of the Djibouti Declaration on education for refugees, returnees and host communities, as well as the Kampala Declaration on Jobs, Livelihoods and Self-reliance. Focus is placed on maintaining asylum space and protection, and providing assistance and delivering durable solutions while combining efforts in countries of asylum and origin.",,,,"Intergovernmental Authority on Development",,2024-12-31,3e+06,"DJ, ER, ET, KE, SD, SO, SS, UG",,"UG, SS, SD, KE, ET, ER, DJ, SO","TFP.2, TFP.3",,"https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/8603/document/T05-EUTF-HOA-REG-80_-_Delivering_durable_solutions_to_forced_displaceme.pdf","EU Trust Fund for Africa Results Framework",,
